City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Laguna,38.421,-121.4238,53.2,88,0,0.0,US,1645277633
1,Butaritari,3.0707,172.7902,80.35,83,100,18.88,KI,1645277687
2,Avarua,-21.2078,-159.775,77.05,88,75,3.44,CK,1645277687
3,Touros,-5.1989,-35.4608,86.9,63,91,12.01,BR,1645277687
4,Bluff,-46.6,168.3333,45.81,69,48,6.24,NZ,1645277687
5,Kavieng,-2.5744,150.7967,82.81,79,96,16.78,PG,1645277688
6,Cayenne,4.9333,-52.3333,79.09,86,100,5.75,GF,1645277688
7,Cape Town,-33.9258,18.4232,81.09,45,0,13.8,ZA,1645277659
8,Abu Kamal,34.4506,40.9171,66.04,32,100,19.51,SY,1645277688
9,Togur,58.3631,82.8265,13.53,96,30,6.91,RU,1645277688
10,La Santisima Trinidad,-14.8333,-64.9,80.58,83,40,2.3,BO,1645277688
11,Mutoko,-17.397,32.2268,69.8,73,99,1.95,ZW,1645277688
12,Albany,42.6001,-73.9662,28.8,65,100,8.16,US,1645277688
13,Ponta do Sol,32.6667,-17.1,62.01,62,55,11.3,PT,1645277603
14,Mataura,-46.1927,168.8643,45.48,93,11,1.9,NZ,1645277688
15,Kavaratti,10.5669,72.642,81.57,70,0,6.89,IN,1645277688
16,Eureka,40.8021,-124.1637,42.26,95,0,3.91,US,1645277467
17,Castro,-24.7911,-50.0119,74.82,54,0,4.52,BR,1645277689
18,Longyearbyen,78.2186,15.6401,3.04,78,20,13.8,SJ,1645277523
19,Poum,-20.2333,164.0167,80.71,76,100,13.76,NC,1645277689
20,Ribeira Grande,38.5167,-28.7,57.6,51,75,3.44,PT,1645277689
21,Vaini,-21.2,-175.2,78.96,89,20,4.61,TO,1645277689
22,Kuytun,54.3419,101.5036,10.72,98,100,4.05,RU,1645277689
23,Okhotsk,59.3833,143.3,-6.36,90,94,6.96,RU,1645277689
24,Lebu,-37.6167,-73.65,62.37,75,0,7.23,CL,1645277689
25,New Norfolk,-42.7826,147.0587,56.75,90,100,3.51,AU,1645277689
26,Port Alfred,-33.5906,26.891,82.33,67,2,20.42,ZA,1645277690
27,Ginda,30.6945,78.4932,49.17,61,51,3.53,IN,1645277690
28,Ushuaia,-54.8,-68.3,44.26,49,40,6.91,AR,1645277690
29,Suffolk,40.8668,-72.7996,35.65,67,0,8.05,US,1645277690
30,Kenai,60.5544,-151.2583,33.89,85,0,10.36,US,1645277690
31,Bredasdorp,-34.5322,20.0403,79.92,39,88,24.16,ZA,1645277690
32,Letka,59.6011,49.4232,30.9,92,99,10.31,RU,1645277690
33,Upernavik,72.7868,-56.1549,-12.62,83,93,2.77,GL,1645277481
34,Bairiki Village,1.3292,172.9752,82.4,78,75,10.36,KI,1645277690
35,Hambantota,6.1241,81.1185,82.74,83,40,6.91,LK,1645277690
36,Verkhnevilyuysk,63.4453,120.3167,-24.03,100,91,2.71,RU,1645277690
37,Rikitea,-23.1203,-134.9692,77.79,72,16,10.18,PF,1645277690
38,Ubari,26.5921,12.7805,71.51,15,3,11.99,LY,1645277691
39,Hutchinson,38.0608,-97.9298,26.35,55,0,3.44,US,1645277691
40,Mahébourg,-20.4081,57.7,82.69,83,75,20.71,MU,1645277691
41,Skjervøy,70.0311,20.9714,29.89,55,100,9.06,NO,1645277691
42,Qaanaaq,77.484,-69.3632,-0.81,51,16,8.55,GL,1645277691
43,Tsabong,-26.0217,22.401,88.74,32,73,16.6,BW,1645277691
44,Marabu,4.4148,114.0089,78.94,94,40,3.44,MY,1645277691
45,Arraial do Cabo,-22.9661,-42.0278,82.36,78,75,4.61,BR,1645277691
46,Puerto del Rosario,28.5004,-13.8627,71.28,68,40,14.97,ES,1645277421
47,Norman Wells,65.282,-126.8329,-16.56,69,100,4.61,CA,1645277692
48,Chui,-33.6971,-53.4616,78.91,52,6,3.8,UY,1645277692
49,Talnakh,69.4865,88.3972,16.21,94,100,16.84,RU,1645277487
50,Sainte-Suzanne,-20.9061,55.6089,82.58,83,100,29.93,RE,1645277692
51,Amga,60.8953,131.9608,-21.77,100,100,1.05,RU,1645277692
52,Lagoa,39.05,-27.9833,53.29,54,59,1.59,PT,1645277692
53,Kidal,18.4411,1.4078,89.85,8,62,11.95,ML,1645277692
54,Hilo,19.7297,-155.09,69.24,84,100,6.91,US,1645277501
55,Atuona,-9.8,-139.0333,77.83,72,2,19.8,PF,1645277692
56,Egvekinot,66.3167,-179.1667,-18.78,86,9,15.03,RU,1645277404
57,Ahipara,-35.1667,173.1667,63.55,92,10,3.15,NZ,1645277692
58,Cabo San Lucas,22.8909,-109.9124,65.52,76,40,6.91,MX,1645277692
59,Punta Arenas,-53.15,-70.9167,42.91,75,75,14.97,CL,1645277508
60,Katsuura,35.1333,140.3,55.42,85,100,28.54,JP,1645277693
61,San Patricio,28.017,-97.5169,53.46,59,50,9.31,US,1645277693
62,San Jose,37.3394,-121.895,55.58,63,0,4.61,US,1645277693
63,Tacuarembó,-31.7333,-55.9833,84.58,35,0,7.11,UY,1645277693
64,Port Elizabeth,-33.918,25.5701,81.1,61,0,5.75,ZA,1645277693
65,Yushala,57.0761,64.2601,24.55,76,1,10.33,RU,1645277693
66,Thompson,55.7435,-97.8558,-29.04,75,100,2.3,CA,1645277693
67,Bonthe,7.5264,-12.505,89.62,51,15,13.09,SL,1645277693
68,Mandera,3.9366,41.867,99.25,18,76,9.93,KE,1645277693
69,Carnarvon,-24.8667,113.6333,87.87,62,78,14.97,AU,1645277694
70,Karratha,-20.7377,116.8463,90.75,51,5,2.75,AU,1645277694
71,Vanavara,60.34,102.2797,-0.29,99,100,2.82,RU,1645277694
72,Coffs Harbour,-30.3,153.1333,68.27,90,75,9.22,AU,1645277694
73,Prikubanskiy,45.0015,41.1795,45.66,94,100,5.84,RU,1645277694
74,Premnitz,52.5333,12.3333,47.28,66,49,17.65,DE,1645277694
75,Hobart,-42.8794,147.3294,57.11,84,100,6.91,AU,1645277663
76,Constantine,36.365,6.6147,69.21,30,0,11.5,DZ,1645277694
77,Shitanjing,39.2342,106.3439,13.05,32,0,3.87,CN,1645277694
78,Endwell,42.1129,-76.021,28.94,68,100,8.99,US,1645277694
79,Mar del Plata,-38.0023,-57.5575,71.62,90,75,11.99,AR,1645277695
80,Santa Cruz de la Sierra,-17.8,-63.1667,80.65,74,20,10.36,BO,1645277695
81,Ploemeur,47.7333,-3.4333,51.85,70,75,24.16,FR,1645277683
82,Jamestown,42.097,-79.2353,20.01,69,100,19.57,US,1645277695
83,Marsá Maţrūḩ,31.3525,27.2453,62.8,63,40,18.41,EG,1645277695
84,Busselton,-33.65,115.3333,72.09,65,99,15.82,AU,1645277695
85,Sri Aman,1.2376,111.4621,78.85,100,100,0.0,MY,1645277695
86,Garoowe,8.4054,48.4845,91.18,17,5,13.65,SO,1645277695
87,Saint-Philippe,-21.3585,55.7679,81.95,92,100,21.92,RE,1645277695
88,Hong Kong,22.2855,114.1577,52.25,94,100,8.99,HK,1645277567
89,Katangli,51.7102,143.2326,11.55,95,100,10.42,RU,1645277696
90,Bengkulu,-3.8004,102.2655,79.34,81,87,2.15,ID,1645277696
91,Lorengau,-2.0226,147.2712,81.18,83,100,8.99,PG,1645277696
92,Datong,40.0936,113.2914,6.55,86,4,1.54,CN,1645277666
93,Yazoo City,32.8551,-90.4056,30.9,56,0,2.71,US,1645277696
94,Mitsamiouli,-11.3847,43.2844,89.89,66,20,6.91,KM,1645277696
95,Ginir,7.1333,40.7,81.07,18,9,12.64,ET,1645277510
96,Bilma,18.6853,12.9164,79.3,10,29,9.95,NE,1645277696
97,Derazhnya,49.2692,27.4338,46.11,53,96,18.01,UA,1645277696
98,Kahului,20.8947,-156.47,72.84,87,20,3.44,US,1645277696
99,Meulaboh,4.1363,96.1285,80.55,79,16,0.56,ID,1645277696
100,Portland,45.5234,-122.6762,42.17,94,100,1.99,US,1645277544
101,Alta Floresta,-9.8756,-56.0861,78.62,89,75,9.22,BR,1645277697
102,Gravdal,68.1214,13.5031,29.88,64,75,6.91,NO,1645277697
103,Gusev,54.5922,22.1997,36.59,96,100,23.24,RU,1645277697
104,Lopandino,52.4666,34.8163,35.04,93,100,20.71,RU,1645277697
105,Calama,-22.4667,-68.9333,61.29,44,0,16.11,CL,1645277697
106,Deputatsky,69.3,139.9,-33.66,100,76,1.7,RU,1645277605
107,Ixtapa,20.7,-105.2,65.23,100,0,2.3,MX,1645277697
108,Provideniya,64.3833,-173.3,-13.95,93,26,4.54,RU,1645277697
109,Warrnambool,-38.3833,142.4833,53.82,78,96,4.21,AU,1645277697
110,Taoudenni,22.6783,-3.9836,83.07,8,99,10.51,ML,1645277698
111,Norwich,52.6278,1.2983,43.12,85,75,16.11,GB,1645277400
112,Chennai,13.0878,80.2785,81.97,74,20,6.91,IN,1645277609
113,Nishihara,26.1842,127.7558,63.68,83,75,25.32,JP,1645277698
114,Turukhansk,65.8167,87.9833,21.18,95,100,17.05,RU,1645277698
115,Shimoda,34.6667,138.95,46.51,91,100,19.39,JP,1645277698
116,Springdale,36.1867,-94.1288,32.49,80,0,4.61,US,1645277698
117,Bethel,41.3712,-73.414,32.49,65,0,9.22,US,1645277698
118,Chokurdakh,70.6333,147.9167,-33.56,100,100,1.88,RU,1645277698
119,Acapulco de Juárez,16.8634,-99.8901,73.22,88,0,3.44,MX,1645277699
120,Saint Paul Harbor,57.79,-152.4072,38.71,70,20,12.66,US,1645277699
121,Dingle,10.9995,122.6711,76.57,87,75,7.09,PH,1645277699
122,Youkounkoun,12.5333,-13.1333,100.13,7,3,7.49,GN,1645277699
123,Shipitsyno,61.2806,46.5208,28.71,89,94,11.5,RU,1645277699
124,Ajdabiya,30.7554,20.2263,63.09,62,11,11.92,LY,1645277699
125,Lerwick,60.1545,-1.1494,41.0,60,30,15.17,GB,1645277699
126,Kapaa,22.0752,-159.319,67.98,75,0,8.05,US,1645277699
127,Klaksvík,62.2266,-6.589,32.92,54,89,15.52,FO,1645277699
128,Cherskiy,68.75,161.3,-42.54,100,48,4.32,RU,1645277700
129,Udachny,66.4167,112.4,-21.35,97,51,8.97,RU,1645277700
130,Pevek,69.7008,170.3133,-35.34,99,42,5.75,RU,1645277700
131,Bokoro,12.3807,17.0568,90.59,10,2,16.28,TD,1645277700
132,Dillon,34.4166,-79.3712,43.11,39,0,8.39,US,1645277700
133,East London,-33.0153,27.9116,83.34,65,0,13.8,ZA,1645277401
134,Kuloy,61.0305,42.4925,31.98,87,100,10.8,RU,1645277700
135,Buedelsdorf,54.3167,9.6833,43.12,65,24,25.32,DE,1645277700
136,Berbera,10.4396,45.0143,78.64,66,100,14.83,SO,1645277700
137,Nichinan,31.6,131.3667,44.76,92,93,6.31,JP,1645277700
138,Paamiut,61.994,-49.6678,1.47,86,8,11.81,GL,1645277701
139,Tegul'det,57.3064,88.1667,10.4,99,92,4.54,RU,1645277701
140,Znamenskoye,57.1281,73.8282,8.4,96,11,4.94,RU,1645277701
141,Pochutla,15.7432,-96.4661,75.02,40,0,1.79,MX,1645277701
142,Saskylakh,71.9167,114.0833,-24.48,98,9,8.08,RU,1645277701
143,Namatanai,-3.6667,152.4333,80.53,82,63,10.47,PG,1645277701
144,Tiznit Province,29.5833,-9.5,63.93,38,0,11.12,MA,1645277701
145,Smolenka,52.1352,113.4974,-11.06,77,80,4.47,RU,1645277702
146,Hasaki,35.7333,140.8333,45.28,83,100,31.21,JP,1645277702
147,Porto-Novo,6.4965,2.6036,89.04,56,100,13.38,BJ,1645277702
148,Severo-Kuril'sk,50.6789,156.125,27.07,80,85,7.38,RU,1645277702
149,Kysyl-Syr,63.8986,122.7617,-24.93,100,96,3.18,RU,1645277702
150,Altay,47.8667,88.1167,10.38,76,100,5.28,CN,1645277702
151,Vila Velha,-20.3297,-40.2925,82.35,80,40,10.36,BR,1645277559
152,Gushikawa,26.3544,127.8686,63.63,94,100,9.22,JP,1645277703
153,Puerto Ayora,-0.7393,-90.3518,77.56,91,25,5.01,EC,1645277703
154,Yellowknife,62.456,-114.3525,-22.45,69,40,8.05,CA,1645277535
155,Virginia Beach,36.8529,-75.978,40.05,73,0,0.0,US,1645277650
156,Tūkrah,32.5341,20.5791,61.21,71,0,8.66,LY,1645277703
157,Dubbo,-32.25,148.6167,68.13,68,40,14.97,AU,1645277703
158,Salinas,36.6777,-121.6555,55.69,68,0,3.44,US,1645277703
159,Fortuna,40.5982,-124.1573,41.99,97,75,8.05,US,1645277703
160,Bathsheba,13.2167,-59.5167,81.21,65,40,17.27,BB,1645277704
161,Nizhniy Baskunchak,48.2198,46.8311,42.71,84,98,8.75,RU,1645277704
162,Fort Nelson,58.8053,-122.7002,-0.81,78,100,13.8,CA,1645277704
163,Teahupoo,-17.8333,-149.2667,67.96,74,56,16.4,PF,1645277704
164,Bahía de Caráquez,-0.6,-80.4167,78.98,84,99,2.95,EC,1645277704
165,Maceió,-9.6658,-35.7353,90.84,51,40,14.97,BR,1645277704
166,Marsh Harbour,26.5412,-77.0636,75.4,80,0,9.95,BS,1645277704
167,Batatais,-20.8911,-47.585,75.18,61,99,2.33,BR,1645277704
168,Puerto Colombia,10.9878,-74.9547,78.89,70,53,14.72,CO,1645277704
169,Somerset,40.5668,-74.5496,33.12,66,3,1.99,US,1645277705
170,Tura,25.5198,90.2201,59.67,38,0,1.99,IN,1645277457
171,Srandakan,-7.9386,110.2506,63.73,83,88,1.72,ID,1645277705
172,Hithadhoo,-0.6,73.0833,82.27,68,55,6.93,MV,1645277705
173,Partyzany,46.3314,34.7503,47.79,53,77,15.14,UA,1645277705
174,Praia da Vitória,38.7333,-27.0667,58.75,88,75,3.6,PT,1645277705
175,Cidreira,-30.1811,-50.2056,76.37,62,0,9.91,BR,1645277705
176,Nouadhibou,20.931,-17.0347,75.18,35,0,20.71,MR,1645277706
177,Yulara,-25.2406,130.9889,76.84,29,0,6.91,AU,1645277706
178,Hermanus,-34.4187,19.2345,79.9,75,41,17.74,ZA,1645277655
179,Dikson,73.5069,80.5464,7.88,93,100,19.13,RU,1645277706
180,Port Lincoln,-34.7333,135.8667,60.49,74,100,8.41,AU,1645277706
181,Khatanga,71.9667,102.5,-29.24,100,11,3.96,RU,1645277706
182,Tiksi,71.6872,128.8694,-25.08,99,88,6.17,RU,1645277706
183,Aklavik,68.2191,-135.0107,-17.57,97,97,7.96,CA,1645277706
184,La Ronge,55.1001,-105.2842,1.65,78,100,11.5,CA,1645277706
185,Paide,58.8856,25.5572,32.9,99,100,4.92,EE,1645277707
186,Haines Junction,60.7522,-137.5108,19.35,86,100,1.14,CA,1645277707
187,Nanortalik,60.1432,-45.2371,18.14,67,100,21.12,GL,1645277707
188,Bonavista,48.6499,-53.1147,19.4,63,97,18.88,CA,1645277707
189,Puerto Escondido,15.85,-97.0667,70.63,88,0,9.22,MX,1645277707
190,Corner Brook,48.9667,-57.9484,17.76,80,98,8.3,CA,1645277707
191,Marquette,46.5333,-87.6335,5.68,77,97,13.33,US,1645277707
192,Zhengjiatun,43.5064,123.5064,8.78,79,96,5.95,CN,1645277707
193,Agüimes,27.9054,-15.4461,66.83,52,75,23.02,ES,1645277707
194,Rosarito,32.3333,-117.0333,55.2,38,0,1.16,MX,1645277707
195,Abu Samrah,35.3029,37.1841,58.41,48,96,12.15,SY,1645277707
196,Tuktoyaktuk,69.4541,-133.0374,-22.74,100,98,5.84,CA,1645277708
197,Taft,31.7471,54.2088,67.95,15,20,2.3,IR,1645277708
198,Las Choapas,17.9333,-94.0833,66.25,95,100,18.81,MX,1645277708
199,Saldanha,-33.0117,17.9442,77.05,77,60,13.04,ZA,1645277708
200,Solnechnyy,50.7214,136.6319,-0.4,96,100,4.12,RU,1645277708
201,Santa Maria,-29.6842,-53.8069,74.5,73,0,8.05,BR,1645277700
202,Kamennogorsk,60.9545,29.1339,34.66,98,100,4.63,RU,1645277708
203,Atambua,-9.1061,124.8925,75.22,89,96,4.05,ID,1645277708
204,Cap Malheureux,-19.9842,57.6142,82.89,80,100,15.99,MU,1645277708
205,Ostrovnoy,68.0531,39.5131,22.12,88,100,18.21,RU,1645277708
206,Sucúa,-2.4667,-78.1667,70.54,94,75,2.3,EC,1645277708
207,Souillac,-20.5167,57.5167,82.78,83,75,20.71,MU,1645277709
208,Coquimbo,-29.9533,-71.3436,65.93,72,0,3.44,CL,1645277502
209,Pierre,44.3683,-100.351,14.92,55,100,14.0,US,1645277709
210,Tuatapere,-46.1333,167.6833,45.82,86,20,3.06,NZ,1645277709
211,Kisaran,2.9845,99.6158,77.05,89,16,3.11,ID,1645277709
212,Carutapera,-1.195,-46.02,86.49,61,20,7.96,BR,1645277709
213,Menongue,-14.6585,17.691,75.2,66,100,5.37,AO,1645277709
214,Airai,-8.9266,125.4092,61.74,94,100,1.83,TL,1645277709
215,La Crosse,43.8014,-91.2396,4.41,68,0,12.66,US,1645277709
216,Oranjemund,-28.55,16.4333,69.4,74,54,15.43,NA,1645277709
217,Marzuq,14.4,46.4667,80.62,26,1,10.85,YE,1645277710
218,Svetlaya,46.5389,138.3297,16.88,94,100,10.67,RU,1645277710
219,Mount Isa,-20.7333,139.5,83.97,34,0,6.91,AU,1645277458
220,San Cristobal,7.7669,-72.225,64.58,83,99,2.13,VE,1645277671
221,Sorong,-0.8833,131.25,77.04,90,100,6.89,ID,1645277710
222,Grand Gaube,-20.0064,57.6608,82.8,80,100,15.99,MU,1645277710
223,Roebourne,-20.7833,117.1333,91.9,46,29,4.03,AU,1645277710
224,Los Llanos de Aridane,28.6585,-17.9182,63.12,63,75,17.27,ES,1645277710
225,Iqaluit,63.7506,-68.5145,-32.31,66,40,0.0,CA,1645277710
226,North Platte,41.1239,-100.7654,24.69,80,100,5.75,US,1645277710
227,Juneau,58.3019,-134.4197,39.22,95,100,3.44,US,1645277710
228,Houma,29.5958,-90.7195,45.0,81,0,8.05,US,1645277711
229,Samarina,57.8878,27.8054,35.49,97,100,15.84,RU,1645277711
230,Moree,-29.4667,149.85,73.42,68,62,11.5,AU,1645277711
231,Kaitangata,-46.2817,169.8464,45.14,91,3,3.58,NZ,1645277711
232,Lysyye Gory,51.5506,44.8414,31.69,88,100,10.8,RU,1645277711
233,Broken Hill,-31.95,141.4333,69.51,32,0,6.91,AU,1645277711
234,Hecelchakán,20.1667,-90.1333,69.08,87,18,4.68,MX,1645277711
235,Koumac,-20.5667,164.2833,78.6,82,100,3.87,NC,1645277711
236,Kutum,14.2,24.6667,74.59,13,1,16.08,SD,1645277711
237,Yenagoa,4.9247,6.2642,97.29,36,100,8.79,NG,1645277712
238,Narsaq,60.9167,-46.05,12.42,71,100,1.48,GL,1645277475
239,Shingū,33.7333,135.9833,44.91,93,100,4.81,JP,1645277712
240,Xining,36.6167,101.7667,14.13,83,8,2.3,CN,1645277712
241,Zhangye,38.9342,100.4517,19.63,33,0,1.19,CN,1645277712
242,Hammerfest,70.6634,23.6821,23.45,80,40,13.8,NO,1645277553
243,Ancud,-41.8697,-73.8203,61.43,95,98,11.39,CL,1645277712
244,Ust-Tsilma,65.441,52.1498,28.83,82,76,11.81,RU,1645277712
245,Tottori-shi,35.5,134.2333,40.3,94,100,4.74,JP,1645277712
246,Bontang,0.1333,117.5,76.69,87,100,5.46,ID,1645277712
247,Lüderitz,-26.6481,15.1594,77.0,56,0,21.94,NA,1645277712
248,São Gabriel da Cachoeira,-0.1303,-67.0892,76.8,88,75,8.05,BR,1645277712
249,Rio Grande,-32.035,-52.0986,84.31,57,0,10.54,BR,1645277713
250,Sambava,-14.2667,50.1667,83.08,75,62,14.74,MG,1645277713
251,Nikolskoye,59.7035,30.7861,35.87,99,100,5.32,RU,1645277713
252,Tasiilaq,65.6145,-37.6368,17.76,57,100,35.08,GL,1645277713
253,Hofn,64.2539,-15.2082,26.19,62,30,9.84,IS,1645277713
254,Kruisfontein,-34.0033,24.7314,78.89,42,13,19.66,ZA,1645277713
255,Toktogul,41.8708,72.9402,25.45,64,3,3.56,KG,1645277713
256,Morón,-34.6534,-58.6198,79.95,75,0,4.18,AR,1645277713
257,Isangel,-19.55,169.2667,78.58,86,100,4.81,VU,1645277713
258,Uarini,-2.99,-65.1083,76.95,78,100,2.42,BR,1645277713
259,Eirunepé,-6.6603,-69.8736,81.82,73,94,3.38,BR,1645277714
260,La Rioja,42.25,-2.5,47.32,68,100,8.55,ES,1645277714
261,Asău,46.4333,26.4,59.92,62,54,11.3,RO,1645277714
262,Labuhan,-6.8844,112.2051,79.21,83,97,6.58,ID,1645277714
263,Esim,4.8699,-2.2405,84.24,70,100,8.61,GH,1645277714
264,Kargil,34.5667,76.1,5.29,91,100,1.03,IN,1645277714
265,Codrington,-38.2667,141.9667,55.29,80,80,4.14,AU,1645277714
266,Oktyabr'skoye,43.0645,44.7417,46.54,43,75,11.18,RU,1645277714
267,Lompoc,34.6391,-120.4579,57.78,96,0,8.05,US,1645277714
268,Baoqing,46.3317,132.2111,0.72,99,99,4.07,CN,1645277714
269,Kiryat Gat,31.61,34.7642,57.88,79,100,8.68,IL,1645277714
270,Bom Jesus,-9.0744,-44.3586,85.08,61,92,4.83,BR,1645277715
271,Barrow,71.2906,-156.7887,-20.18,69,100,6.91,US,1645277701
272,Hirara,24.8,125.2833,64.06,80,100,30.53,JP,1645277715
273,Bubaque,11.2833,-15.8333,80.47,48,35,6.8,GW,1645277715
274,Palmer,42.1584,-72.3287,27.43,61,20,10.36,US,1645277715
